soru;secenek_a;secenek_b;secenek_c;secenek_d;secenek_e;dogru_cevap;zorluk
Türkiye’nin “üç tarafı denizlerle çevrili olması, İstanbul ve Çanakkale boğazlarına sahip bulunması ve sekiz ülkeyle kara sınırı paylaşması” gibi özellikleri bir bütün olarak değerlendirildiğinde aşağıdaki yargılardan hangisine ulaşılır?;Türkiye yalnızca deniz yolu taşımacılığında öne çıkan bir ülkedir.;Türkiye’nin lojistik önemi tek bir ulaşım türüne dayanır.;Türkiye, farklı yönlere açılabilen bir geçiş ve bağlantı alanıdır.;Türkiye’nin coğrafi konumu lojistik açıdan dezavantaj oluşturur.;Türkiye’de yalnızca iç ticaret faaliyetleri gelişmiştir.;C;orta
Aşağıdakilerden hangisi Türkiye’nin matematiksel konumunun (36°–42° kuzey paralelleri, 26°–45° doğu meridyenleri) doğrudan bir sonucudur?;Asya ile Avrupa arasında köprü olması;Genel olarak ılıman iklim özelliklerinin görülmesi;Sekiz ülkeyle kara sınırı paylaşması;Boğazlara sahip olması;Orta Doğu pazarlarına yakın bulunması;B;kolay
“Türkiye’nin üretimi ne kadar düzenli yapılıyorsa taşımacılık ve dağıtım faaliyetleri de o kadar güçlü olur.” cümlesi, iklim ile lojistik arasında nasıl bir ilişki kurmaktadır?;İklim yalnızca turizmi etkiler, lojistikle ilgisi yoktur.;İklim üretimi etkileyerek dolaylı yoldan lojistiği etkiler.;Lojistik faaliyetler iklimi değiştirir.;İklim yalnızca deniz taşımacılığını etkiler.;Üretim ile taşımacılık arasında ilişki bulunmaz.;B;kolay
Türkiye’nin kuzeybatısında yer alan, İstanbul merkezli alanın lojistik açıdan ülkenin en gelişmiş kesimlerinden biri olmasının nedeni aşağıdakilerden hangisinde tam olarak verilmiştir?;Yalnızca tarım alanlarının verimli olması;Yalnızca turizm faaliyetlerinin yoğun olması;Sanayi, ticaret, nüfus, kara-deniz yolu bağlantıları ve boğazların geçiş avantajı;Yalnızca demir yolu hatlarının yoğun olması;Yalnızca sınır kapılarının çok olması;C;kolay
Aşağıda Türkiye’nin bazı coğrafi kesimleri ile öne çıkan lojistik özellikleri eşleştirilmiştir. Bu eşleştirmelerden hangisi yanlıştır?;Kuzeybatı kesimleri – Sanayi ve boğaz geçiş avantajı;Batı kıyıları – Verimli tarım alanları ve limanlar;Güney kıyıları – Mersin ve İskenderun çevresinde liman taşımacılığı;Doğu ve güneydoğu kesimleri – Sınır kapıları ve uluslararası kara taşımacılığı;İç kesimler – Doğrudan deniz taşımacılığı merkezi olma;E;orta
Romanya’daki bir limandan yüklenen tahıl gemisinin Karadeniz’den Akdeniz’e ve oradan Kuzey Afrika’ya ulaşabilmesi için izlemesi gereken su yolu aşağıdakilerden hangisidir?;Süveyş Kanalı – Kızıldeniz;Cebelitarık Boğazı – Atlas Okyanusu;İstanbul Boğazı – Çanakkale Boğazı;Malakka Boğazı – Hint Okyanusu;Basra Körfezi – Hürmüz Boğazı;C;orta
Türkiye lojistik coğrafyasında bazen “geçiş ülkesi”, bazen “bağlantı alanı”, bazen de “dağıtım merkezi” olarak değerlendirilmektedir. Bu üç kavramın ortak vurgusu aşağıdakilerden hangisidir?;Türkiye’nin yalnızca ham madde ürettiği;Türkiye’nin konumundan kaynaklanan aracılık-bağlantı işlevi;Türkiye’nin denize kıyısı olmadığı;Türkiye’nin yalnızca iç ticaretle uğraştığı;Türkiye’nin ulaşım altyapısının zayıf olduğu;B;orta
Türkiye’nin doğusunda yer alan komşuları aşağıdaki seçeneklerin hangisinde birlikte ve doğru olarak verilmiştir?;Yunanistan – Bulgaristan;Irak – Suriye;Gürcistan – Ermenistan – Nahçıvan – İran;Yunanistan – Irak;Bulgaristan – Suriye;C;kolay
Bir lojistik şirketi, Uzak Doğu’da üretilen elektronik ürünleri Avrupa, Orta Doğu ve Kuzey Afrika pazarlarına ulaştıracak bir dağıtım merkezi kurmak istemektedir. Denize kıyısı olmayan bir ülke ile Türkiye karşılaştırıldığında Türkiye’yi öne çıkaran temel özellik aşağıdakilerden hangisidir?;Yüz ölçümünün daha küçük olması;Üç kıtaya yakın konumu ve denizlere açılan ulaşım bağlantıları;Yalnızca tek bir komşusunun bulunması;Hiç limanının olmaması;Yalnızca hava yolu taşımacılığına dayanması;B;zor
"“Türkiye’nin bulunduğu yer, onu yalnızca bir ülke değil; bir geçiş ve bağlantı alanı hâline getirir.” ifadesi en çok aşağıdaki coğrafi özelliklerden hangisiyle açıklanabilir?";Türkiye’nin yüz ölçümünün büyük olması;Türkiye’nin Asya ile Avrupa’nın yaklaştığı geçiş alanında bulunması;Türkiye’nin yalnızca tarımsal üretim yapması;Türkiye’nin nüfusunun fazla olması;Türkiye’de yalnızca kara yolu bulunması;B;kolay
Bir ülkenin lojistik yapısının yalnızca coğrafi konuma değil, doğal ve beşerî özelliklere de bağlı olduğu belirtilmektedir. Aşağıdakilerden hangisi beşerî (insan kaynaklı) bir unsurdur?;Dağların uzanış yönü;Boğazların varlığı;Denizlere kıyı olma durumu;Organize sanayi bölgeleri;İklim özellikleri;D;kolay
Aşağıdakilerden hangisi Türkiye lojistik coğrafyasında yalnızca taşıma dışında yer alan faaliyetlerden biri değildir?;Depolama;Gümrükleme;Aktarma;Dağıtım;Boğazların oluşumu;E;kolay
"Türkiye’nin matematiksel konumunun düzenli üretime, özel konumunun ise pazarlara yakınlığa katkı sağladığı düşünülürse; hem üretim koşulları hem de Avrupa ve Orta Doğu pazarlarına yakınlık arayan bir tarım şirketi için Türkiye’nin sunduğu avantaj aşağıdakilerden hangisidir?";Yalnızca ucuz iş gücü;Uygun iklimle üretim ve birden çok pazara coğrafi yakınlık;Yalnızca düşük vergi oranları;Denize kıyısının olmaması;Yalnızca tek pazara erişim;B;orta
Türkiye’nin Balkanlar, Kafkasya ve Orta Doğu gibi bölgelere yakın olmasının lojistik açıdan en doğrudan sonucu aşağıdakilerden hangisidir?;Türkiye’nin yalnızca iç pazara hizmet etmesi;Farklı bölgelere açılan ulaşım ve ticaret köprüsü olması;Türkiye’nin tarım dışı üretiminin durması;Türkiye’nin boğazlarının kapanması;Komşu ülkelerle ticaretin imkânsız hâle gelmesi;B;kolay
Karadeniz’e kıyısı olan ülkeler arasında kriz çıktığında tahıl taşımacılığının Türk boğazlarına bağımlı hâle gelmesi, Türkiye’nin küresel ticaretteki rolüyle ilgili olarak en çok hangi kavramı öne çıkarır?;Hinterlant;Geçiş ve kontrol noktası olma;Rezerv para;Enflasyon;İl yolu;B;zor
İstanbul ve Çanakkale boğazlarının lojistik açıdan öneminin yalnızca Türkiye’yi değil, Karadeniz’e kıyısı bulunan diğer ülkeleri de ilgilendirmesinin nedeni aşağıdakilerden hangisidir?;Boğazların yalnızca turizm amaçlı kullanılması;Bu ülkelerin denize çıkışının da boğazlardan geçmesi;Boğazların yalnızca balıkçılıkta kullanılması;Boğazların kara yolu güzergâhı olması;Boğazların yük taşımacılığına kapalı olması;B;orta
Aşağıdakilerden hangisi Türkiye’nin enerji taşımacılığı açısından önemini artıran bir özellik değildir?;Avrupa’ya uzanan kara ve demir yolu hatları;Orta Doğu’ya uzanan kara yolu bağlantıları;Boğazlara ve liman şehirlerine sahip olması;Kıtalar arasında bağlantı kuran konumu;Komşusu bulunmayan bir ülke olması;E;kolay
Kara yolu taşımacılığının Türkiye’de en yaygın kullanılan ulaşım türlerinden biri olmasının temel nedeni aşağıdakilerden hangisidir?;En düşük karbon salımına sahip olması;Esnek olması ve kapıdan kapıya doğrudan ulaşım sağlaması;Yalnızca uzun mesafelerde kullanılması;Tek seferde en büyük yükü taşıması;Hiçbir altyapı gerektirmemesi;B;kolay
Aşağıda kara yolu türleri ile tanımları eşleştirilmiştir. Hangi eşleştirme doğrudur?;Otoyol – İl sınırları içinde ilçeleri bağlayan ücretsiz yollar;Devlet yolu – Giriş-çıkışı kontrollü, genellikle ücretli yollar;Uluslararası transit yol – E ve AH yolları olarak adlandırılan koridorlar;İl yolu – Ülkeler arası transit trafiği taşıyan ana koridorlar;Otoyol – Yalnızca yaya ulaşımına açık yollar;C;kolay
Türkiye’de kara yolu güzergâhlarının doğu-batı doğrultusunda önem kazanmasının lojistik açıdan en doğru açıklaması aşağıdakilerden hangisidir?;Yalnızca turistik gezileri kolaylaştırması;Türkiye’yi Avrupa’dan Kafkasya, Türkistan ve Orta Doğu’ya bağlaması;Yalnızca şehir içi ulaşımı sağlaması;Demir yolunu tamamen gereksiz kılması;Limanlara hiçbir bağlantı sağlamaması;B;kolay
Sınır kapılarının “yalnızca giriş-çıkış noktası” değil, aynı zamanda “lojistik merkez” olarak değerlendirilmesinin nedeni aşağıdakilerden hangisidir?;Yalnızca yolcu pasaport kontrolü yapılması;Gümrük, depolama, tır parkı ve hizmet sektörü gibi faaliyetlerin gelişmesi;Hiçbir ekonomik faaliyet barındırmaması;Yalnızca turistik geçişlere açık olması;Yalnızca demir yolu bağlantısı bulunması;B;orta
Aşağıda sınır kapıları ile komşu ülkeler eşleştirilmiştir. Hangi eşleştirme yanlıştır?;Kapıkule – Bulgaristan;Habur – Irak;Sarp – Gürcistan;Gürbulak – İran;İpsala – Suriye;E;kolay
Almanya’dan yola çıkan ve İran’a otomotiv yedek parçası taşıyan bir tır şoförünün Türkiye’ye Avrupa yönünden giriş yapması beklenir. Bu durumda kullanacağı sınır kapısı aşağıdakilerden hangisidir?;Habur;Gürbulak;Kapıkule;Sarp;Dilucu;C;orta
Türkiye ile Gürcistan arasında, belirli koşullarda kimlik kartıyla geçişe imkân tanıyan ve Doğu Karadeniz’de yer alan sınır kapısı aşağıdakilerden hangisidir?;İpsala;Sarp;Gürbulak;Habur;Kapıköy;B;kolay
Ermenistan sınırının taşımacılığa kapalı olması, Türkiye’nin Nahçıvan ve dolaylı olarak Azerbaycan ile kara bağlantısında hangi sınır kapısının önemini artırmıştır?;Dilucu;İpsala;Kapıkule;Habur;Sarp;A;orta
Demir yolu taşımacılığının kömür, maden, demir-çelik ve tahıl gibi yüklerde tercih edilmesinin temel nedeni aşağıdakilerden hangisidir?;Her noktaya doğrudan ulaşabilmesi;Tek seferde büyük miktarda yükü ekonomik biçimde taşıyabilmesi;En hızlı ulaşım türü olması;Yalnızca kısa mesafelerde kullanılması;Hiçbir altyapı gerektirmemesi;B;kolay
Bir demir yolu hattının “daha işlevsel” hâle gelmesi için aşağıdakilerden hangisiyle bağlantı kurması en çok beklenir?;Yalnızca turistik bölgelerle;Limanlar ve sanayi merkezleriyle;Yalnızca tarım alanlarıyla;Yalnızca havalimanı pistleriyle;Yalnızca yerleşim dışı boş alanlarla;B;kolay
Bakü-Tiflis-Kars Demir Yolu Hattı’nın İstanbul’daki Marmaray ile birleşmesinin lojistik açıdan en önemli sonucu aşağıdakilerden hangisidir?;Yalnızca şehir içi metro ulaşımının gelişmesi;Asya ile Avrupa arasında kesintisiz demir yolu bağlantısının güçlenmesi;Deniz yolu taşımacılığının tamamen sona ermesi;Yalnızca yolcu taşımacılığının yasaklanması;Kara yolunun gereksiz hâle gelmesi;B;orta
Çin’den Avrupa’ya uzanan ve Türkiye’nin de içinde yer aldığı “Orta Koridor”un önemli bir parçası olan demir yolu hattı aşağıdakilerden hangisidir?;Hicaz Demir Yolu;İzmir-Aydın Demir Yolu;Bakü-Tiflis-Kars Demir Yolu;Yalnızca şehir içi tramvay hatları;Konya-Karaman banliyö hattı;C;kolay
Bir limanın hizmet verdiği iç bölgeye verilen ad aşağıdakilerden hangisidir?;Koridor;Hinterlant;Boğaz;Transit hat;Aktarma istasyonu;B;kolay
“Bir limanın ekonomik değeri yalnızca kıyıda bulunmasına değil, geniş bir hinterlanda sahip olmasına bağlıdır.” yargısının nedeni aşağıdakilerden hangisidir?;Geniş hinterlant, limanın yalnızca turistik değerini artırır.;Geniş hinterlant, limanın iç bölgelerdeki üretim ve tüketim alanlarına hizmet etmesini sağlar.;Hinterlant, limanın deniz derinliğini belirler.;Hinterlant, limanın gemi sayısını azaltır.;Hinterlant, yalnızca yolcu taşımacılığını ilgilendirir.;B;orta
Aşağıda limanlar ve öne çıkan özellikleri eşleştirilmiştir. Hangi eşleştirme yanlıştır?;Mersin Limanı – Konteyner taşımacılığı ve Orta Doğu’ya yakınlık;İskenderun Limanı – Demir-çelik ve sanayi yükleri;İzmir Limanı – Tarım ürünleri ve konteyner taşımacılığı;Zonguldak-Ereğli Limanları – Ağır sanayi ve dökme yük;Trabzon Limanı – Avrupa Birliği’ne kara sınırı kapısı;E;orta
"Bir lojistik firması; Irak, İran ve Suriye pazarlarına kara yolu bağlantısı güçlü, konteyner ve soğuk zincir taşımacılığında gelişmiş, iç bölgelerle demir yolu bağlantısı bulunan bir liman aramaktadır. Bu firmanın tercih etmesi en uygun liman aşağıdakilerden hangisidir?";Trabzon Limanı;Mersin Limanı;Samsun Limanı;Çeşme Limanı;Sinop Limanı;B;zor
Karadeniz kıyısındaki limanların lojistik değerinin yalnızca kıyıda bulunmalarından kaynaklanmadığı belirtilmektedir. Bu değeri artıran temel unsur aşağıdakilerden hangisidir?;İç bölgelere ve komşu ülkelere uzanan ulaşım bağlantıları;Yalnızca balıkçılık faaliyetleri;Yalnızca turizm hareketliliği;Kıyı uzunluğunun kısa olması;Demir yolu bağlantısının hiç olmaması;A;kolay
İstanbul Havalimanı’nın Avrupa, Asya ve Afrika yönlü uçuşlarda yolcu ve kargo aktarımında öne çıkmasını sağlayan “aktarma merkezi (HUB)” işlevi en çok aşağıdakilerden hangisiyle açıklanır?;Yalnızca iç hat uçuşlarına hizmet vermesi;Farklı şehir ve ülkelerden gelen yolcu ve kargonun toplanıp yeniden dağıtılması;Yalnızca turizm sezonunda açık olması;Hava kargo taşımacılığı yapmaması;Yalnızca tek bir ülkeye uçuş düzenlemesi;B;orta
Aşağıdaki havalimanlarından hangisinin yaz aylarında yolcu yoğunluğunun ve buna bağlı personel ihtiyacının diğer mevsimlere göre belirgin biçimde artması beklenir?;Ankara Esenboğa Havalimanı;Antalya Havalimanı;Çukurova Uluslararası Havalimanı;İstanbul Havalimanı;Sabiha Gökçen Havalimanı;B;orta
Aşağıda havalimanları ile hizmet işlevleri eşleştirilmiştir. Hangi eşleştirme doğrudur?;İstanbul Havalimanı – Bölgesel ulaşım havalimanı;Antalya Havalimanı – Uluslararası aktarma merkezi;Dalaman Havalimanı – Turizm odaklı havalimanı;Esenboğa Havalimanı – Yalnızca kargo havalimanı;İzmir Adnan Menderes – Yalnızca iç hat havalimanı;C;kolay
Hava kargo taşımacılığında ilaç, elektronik ürün, taze çiçek ve yaş meyve-sebze gibi ürünlerin tercih edilmesinin temel nedeni aşağıdakilerden hangisidir?;Bu ürünlerin çok ağır olması;Bu ürünlerin hızlı taşınma gerektiren, zaman hassasiyeti yüksek ürünler olması;Hava yolunun en ucuz ulaşım türü olması;Bu ürünlerin yalnızca iç hatlarda taşınması;Hava yolunun en yüksek kapasiteye sahip olması;B;kolay
İç bölgelerde üretilen malların önce kara veya demir yolu ile limanlara, oradan deniz yolu ile dış pazarlara ulaştırılması en çok aşağıdaki kavramlardan hangisine örnektir?;Tek bir ulaşım türünün kullanılması;Farklı ulaşım türlerinin birbirini tamamlaması;Yalnızca hava yolunun kullanılması;Ulaşım türleri arasında hiçbir bağlantı olmaması;Yalnızca şehir içi dağıtım;B;orta
"Hangi ulaşım türünün tercih edileceği; yükün niteliği, mesafe, maliyet, zaman ve coğrafi koşullara göre değişir. Buna göre “küçük bir kasabaya acil paket teslimi” için en uygun ulaşım türü aşağıdakilerden hangisidir?";Deniz yolu;Demir yolu;Kara yolu;Boru hattı;Yalnızca hava yolu;C;orta
Aşağıda ulaşım türlerinin özellikleri verilmiştir. Hangi eşleştirme yanlıştır?;Kara yolu – Kapıdan kapıya yüksek esneklik;Demir yolu – Yüksek kapasite ve düşük emisyon;Deniz yolu – Tek seferde büyük miktarda yük;Hava yolu – En hızlı ama sınırlı kapasiteli;Hava yolu – En düşük maliyetli ulaşım türü;E;orta
Taşımacılık ve depolama süreçlerinin çevreye daha az zarar verecek biçimde planlanmasını amaçlayan yaklaşım aşağıdakilerden hangisidir?;Transit taşımacılık;Yeşil lojistik;Hinterlant yönetimi;Aktarma merkezi sistemi;Dökme yük taşımacılığı;B;kolay
Aşağıdakilerden hangisi yeşil lojistik uygulamaları arasında yer almaz?;Yakıt tasarrufu sağlayan araçların kullanılması;Taşıma güzergâhlarının verimli planlanması;Geri dönüştürülebilir ambalajların tercih edilmesi;Depolarda enerji tasarrufu sağlanması;Fosil yakıt tüketimini artıran araçların yaygınlaştırılması;E;kolay
“Düşük emisyon” kavramı lojistik açısından en doğru biçimde aşağıdakilerden hangisiyle açıklanır?;Taşıma araçlarının daha hızlı gitmesi;Havaya salınan gazların miktarının azaltılması;Taşıma maliyetlerinin yükseltilmesi;Yük kapasitesinin düşürülmesi;Yalnızca kara yolunun kullanılması;B;kolay
Demir yolu ve deniz yolu taşımacılığının yeşil lojistik açısından öne çıkmasının temel nedeni aşağıdakilerden hangisidir?;Birim yük başına daha düşük karbon salımı oluşturmaları;Her noktaya doğrudan ulaşabilmeleri;En hızlı ulaşım türleri olmaları;Hiçbir altyapı gerektirmemeleri;Yalnızca yolcu taşımaları;A;orta
“Avrupa Yeşil Mutabakatı” gibi çevresel düzenlemelerin taşımacılık sektörüne en olası etkisi aşağıdakilerden hangisidir?;Fosil yakıtlı kara yolu taşımacılığının teşvik edilmesi;Daha temiz ve verimli ulaşım türlerine yönelimin artması;Demir yolu yatırımlarının durdurulması;Taşımacılıkta çevre etkilerinin göz ardı edilmesi;Limanların kapatılması;B;zor
Türkiye’nin bölgesel lojistik avantajları arasında aşağıdakilerden hangisi yer almaz?;Batıda Avrupa bağlantıları;Güneyde Orta Doğu’ya açılan yollar;Doğuda Kafkasya ve Türkistan bağlantıları;Kuzeyde Karadeniz limanları;Komşu ülkelerle hiçbir ulaşım bağlantısının bulunmaması;E;kolay
Komşu bölgelerde yaşanan siyasi sorunların sınır kapılarında beklemelere yol açması, Türkiye’nin lojistik yapısı açısından aşağıdakilerden hangisine örnektir?;Bölgesel bir lojistik avantaja;Zaman kaybı ve maliyet artışına yol açan bir dezavantaja;Yeşil lojistik uygulamasına;Hinterlandın genişlemesine;Hava kargo kapasitesinin artmasına;B;orta
Sınır geçişlerindeki beklemelere alternatif olarak araçların deniz yolu ile Avrupa’nın merkezine gönderilmesini sağlayan taşımacılık türü aşağıdakilerden hangisidir?;Boru hattı taşımacılığı;Ro-Ro taşımacılığı;Hava kargo taşımacılığı;Banliyö taşımacılığı;Yalnızca konteyner demir yolu taşımacılığı;B;orta
“Türkiye’de yük taşımacılığında kara yolunun ağırlıkta olması” aşağıdaki sonuçlardan hangisini birlikte doğurur?;Yakıt maliyetlerinin düşmesi ve emisyonun azalması;Yakıt maliyetlerinin yükselmesi ve çevresel etkilerin artması;Demir yolu kapasitesinin tamamen kullanılması;Deniz yolu taşımacılığının imkânsız hâle gelmesi;Lojistik faaliyetlerin tümüyle durması;B;zor
