soru;secenek_a;secenek_b;secenek_c;secenek_d;dogru_cevap;zorluk
Dünya'nın kutuplardan basık, Ekvator'dan şişkin olan kendine özgü şekline ne ad verilir?;Elips;Geoit;Daire;Silindir;B;kolay
Dünya üzerindeki bir noktanın yerini kesin olarak belirlemek için kullanılan temel coğrafi bilgiler hangileridir?;Sıcaklık ve basınç;Hız ve zaman;Enlem ve boylam;Yükseklik ve sıcaklık;C;kolay
Enlem kavramı aşağıdakilerden hangisini ifade eder?;Bir noktanın Greenwich Meridyeni'ne olan açısal uzaklığını;Bir noktanın Ekvator'a olan açısal uzaklığını;İki nokta arasındaki doğrusal mesafeyi;Bir noktanın deniz seviyesinden yüksekliğini;B;kolay
Boylamların başlangıç noktası olarak kabul edilen meridyen hangisidir?;Ekvator;Yengeç Dönencesi;Greenwich Meridyeni;Oğlak Dönencesi;C;kolay
İki meridyen arasında kaç dakikalık yerel saat farkı bulunur?;2 dakika;4 dakika;15 dakika;60 dakika;B;kolay
Dünya üzerindeki iki nokta arasındaki en kısa mesafeyi gösteren büyük daire parçasına ne ad verilir?;Paralel yayı;Meridyen yayı;Büyük daire yayı;Eksen doğrusu;C;orta
Dünya'nın eksen eğikliğinin temel sonuçlarından biri aşağıdakilerden hangisidir?;Meridyenlerin uzunluklarının değişmesi;Mevsimlerin oluşması;Dünya'nın dönüş hızının durması;Ekvator'un yer değiştirmesi;B;kolay
Seyrüsefer hesaplarında pusula ibresinin gösterdiği yön hangisidir?;Gerçek kuzey;Manyetik kuzey;Coğrafi güney;Ekvator yönü;B;kolay
Hava seyrüseferinin temel amacı aşağıdakilerden hangisidir?;Hava aracının bakım zamanını belirlemek;Hava aracının güvenli rota üzerinde konum ve istikametini belirlemek;Yolcu ve yük miktarını hesaplamak;Havaalanı terminal kapasitesini ölçmek;B;kolay
Aşağıdakilerden hangisi hava seyrüseferinde kullanılan asli referanslardan biri değildir?;Pozisyon;İstikamet;Mesafe;Motor sıcaklığı;D;kolay
Harita üzerindeki arazi şekilleri ve belirgin referans noktaları izlenerek yapılan seyrüsefer yöntemi hangisidir?;Harita okuma yöntemi;Radyo seyrüseferi;Uydu seyrüseferi;Barometrik seyrüsefer;A;kolay
Güneş, Ay, gezegenler ve yıldızlardan yararlanılarak yapılan seyrüsefer yöntemi hangisidir?;Dead reckoning;Radyo seyrüseferi;Celestial navigasyon;Harita okuma;C;orta
Herhangi bir seyrüsefer yardımcı cihazı kullanılmadan istikamet, sürat, mesafe ve zaman bilgileriyle konum hesaplanmasına ne ad verilir?;Kontrollü seyrüsefer;Dead reckoning;Uydu navigasyonu;Radyo yön bulma;B;orta
GNSS sistemlerinin temel işlevi aşağıdakilerden hangisidir?;Hava aracının yakıt tüketimini azaltmak;Konum ve zaman bilgisi sağlamak;Hava sahasını fiziksel olarak sınırlandırmak;Meteorolojik olayları engellemek;B;kolay
Bir GPS alıcısının üç boyutlu konumunu, yani enlem, boylam ve yüksekliğini belirleyebilmesi için en az kaç uydudan sinyal alması gerekir?;2;3;4;6;C;kolay
GPS sistemi hangi ülke tarafından geliştirilmiş ve yönetilmektedir?;Rusya;Çin;Amerika Birleşik Devletleri;Japonya;C;kolay
Rusya tarafından geliştirilen küresel uydu konumlandırma sistemi hangisidir?;Galileo;GLONASS;BeiDou;QZSS;B;kolay
Galileo uydu navigasyon sistemi hangi yapı tarafından geliştirilmiştir?;Avrupa Birliği;NATO;Çin;Hindistan;A;kolay
Aşağıdakilerden hangisi bölgesel konum belirleme sistemlerinden biridir?;GPS;GLONASS;QZSS;Galileo;C;orta
Harita üzerinde kullanılan sembol, renk ve işaretlerin anlamlarını açıklayan bölüme ne ad verilir?;Ölçek;Lejant;Projeksiyon;Koordinat;B;kolay
Bir haritanın ölçeği aşağıdakilerden hangisini gösterir?;Haritanın hazırlandığı tarihi;Gerçek mesafelerin haritada ne kadar küçültüldüğünü;Haritadaki renklerin anlamını;Kuzey yönünün konumunu;B;kolay
Hava meydan haritalarında aşağıdakilerden hangisinin gösterilmesi beklenir?;Hava yolları ve seyrüsefer yardımcıları;Yolcuların kişisel bilgileri;Hava yolu şirketlerinin gelirleri;Uçakların bakım maliyetleri;A;kolay
Bir devletin kara ülkesi ve karasuları üzerindeki hava bölgesine ne ad verilir?;Uluslararası hava sahası;Egemen hava sahası;Kontrolsüz hava sahası;Geçici hava sahası;B;kolay
Uluslararası hava sahasının temel özelliği aşağıdakilerden hangisidir?;Tek bir devletin egemenliğinde olması;Yalnızca askerî uçuşlara açık olması;Herhangi bir devletin egemenliği altında bulunmaması;Hava trafik kurallarının uygulanmaması;C;orta
ICAO sınıflandırmasına göre hangi hava sahası sınıfları kontrollü hava sahasıdır?;A, B, C, D ve E;B, C, D, E ve F;C, D, E, F ve G;Yalnızca A ve B;A;orta
ICAO sınıflandırmasına göre kontrolsüz hava sahaları hangileridir?;A ve B;C ve D;E ve F;F ve G;D;orta
Uçuşların tamamen yasaklandığı ve genellikle stratejik tesislerin çevresinde oluşturulan hava sahası hangisidir?;Tehlikeli saha;Tahditli saha;Yasaklı saha;Kontrollü saha;C;kolay
Uçuşların belirli koşullara ve önceden izin alınmasına bağlı olduğu hava sahası hangisidir?;Tahditli saha;Uluslararası hava sahası;Kontrolsüz hava sahası;Serbest uçuş sahası;A;kolay
Bir havalimanındaki en yakın pistin kenarından 9 kilometreden daha yakın alanda İHA uçuşu yapılmak isteniyorsa aşağıdakilerden hangisi gereklidir?;Herhangi bir işlem yapılmadan uçuşa başlanması;Yalnızca İHA sahibinden izin alınması;Risk analizi yapılması ve Genel Müdürlükten izin alınması;Sadece hava durumunun kontrol edilmesi;C;orta
Emniyetli bir İHA uçuşu öncesinde aşağıdakilerden hangisinin yapılması en uygundur?;Batarya, pervane, GPS ve diğer kritik sistemlerin kontrol edilmesi;Yazılım güncellemelerinin dikkate alınmaması;Görüş mesafesi düşük olsa da uçuşun sürdürülmesi;Acil durum planı hazırlanmadan göreve başlanması;A;kolay
